step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop
290,-37.0,9.4,-0.600,0,0.279,5.650,2.298,0
291,-34.9,11.2,-0.600,0,0.301,5.645,2.264,0
292,-32.9,12.7,-0.600,0,0.306,5.644,2.235,0
293,-31.1,14.2,-0.600,0,0.305,5.644,2.207,0
294,-29.1,15.8,-0.600,0,0.300,5.644,2.179,0
295,-27.1,17.5,-0.600,0,0.327,5.643,2.151,0
296,-25.2,19.2,-0.600,0,0.313,5.643,2.124,0
297,-23.2,20.9,-0.600,0,0.322,5.642,2.095,0
298,-21.2,22.7,-0.600,1,0.324,5.641,2.067,0
299,-19.1,24.5,-0.480,1,0.938,5.640,2.039,0
300,-17.0,26.4,-0.360,1,0.793,5.640,2.012,0
301,-15.0,28.3,-0.240,1,0.531,5.636,1.981,0
302,-12.8,30.6,-0.150,1,0.352,5.620,1.940,0
303,-10.6,33.1,-0.137,1,0.396,5.602,1.898,0
304,-8.7,35.1,-0.119,1,0.329,5.591,1.862,0
305,-7.1,36.7,-0.120,1,0.312,5.585,1.832,0
306,-5.7,38.2,-0.195,1,0.333,5.584,1.805,0
307,-4.4,39.5,-0.113,1,0.268,5.587,1.781,0
308,-3.2,40.7,0.007,1,-0.215,5.591,1.758,0
309,-2.1,41.8,-0.034,1,1.000,5.599,1.738,0
310,-1.1,42.5,0.021,1,0.993,5.617,1.726,0
311,-0.3,42.8,-0.003,1,1.000,5.644,1.719,0
312,0.5,43.5,-0.067,1,1.000,5.662,1.705,0
313,1.4,44.6,-0.109,1,0.972,5.663,1.679,0
314,2.4,46.2,-0.182,1,0.998,5.646,1.653,0
315,3.4,47.6,-0.166,1,0.989,5.609,1.676,0
316,4.2,48.9,-0.104,1,0.998,5.557,1.687,0
317,5.3,50.3,-0.084,1,0.992,5.501,1.691,0
318,6.2,51.3,-0.070,1,0.983,5.444,1.689,0
319,6.9,52.0,-0.190,1,1.000,5.388,1.682,0
320,7.6,52.5,-0.191,1,1.000,5.333,1.670,0
321,8.4,52.8,-0.071,1,1.000,5.279,1.650,0
322,9.2,53.0,0.049,1,1.000,5.225,1.623,0
323,10.0,53.2,0.114,1,1.000,5.172,1.588,0
324,10.6,53.0,0.102,1,1.000,5.120,1.544,0
325,10.7,52.7,0.006,1,0.990,5.045,1.494,0
326,10.4,52.2,0.057,1,0.940,4.948,1.444,0
327,10.4,51.9,0.016,1,0.943,4.851,1.394,0
328,10.3,51.5,0.013,1,0.961,4.758,1.345,0
329,9.2,49.9,0.133,1,0.863,4.669,1.299,0
330,8.5,48.4,0.253,1,0.915,4.586,1.255,0
331,12.3,51.2,0.266,1,0.928,4.509,1.218,0
332,15.7,53.9,0.155,1,0.939,4.441,1.186,0
333,13.5,54.1,0.249,1,1.000,4.377,1.151,0
334,14.2,57.9,0.129,1,1.000,4.310,1.122,0
335,16.5,63.0,0.136,1,1.000,4.252,1.107,0
336,20.2,68.7,0.068,1,0.992,4.190,1.082,0
337,22.3,69.9,0.069,1,0.960,4.104,1.086,0
338,21.9,68.6,0.057,1,0.964,4.021,1.105,0
339,22.1,68.4,0.177,1,0.327,3.933,1.142,0
340,23.0,69.3,0.297,1,0.374,3.829,1.165,0
341,24.1,70.3,0.417,1,0.474,3.724,1.191,0
342,25.2,71.4,0.537,1,0.390,3.622,1.212,0
343,25.9,70.8,0.600,1,0.386,3.531,1.243,0
344,26.5,69.3,0.600,1,0.358,3.452,1.273,0
345,26.7,67.1,0.600,1,0.455,3.374,1.298,0
346,27.1,64.8,0.600,1,0.375,3.300,1.317,0
347,27.4,62.2,0.600,1,0.389,3.229,1.327,0
348,27.7,59.5,0.600,1,0.370,3.167,1.330,0
349,27.8,56.4,0.600,1,0.333,3.113,1.327,0
350,28.0,53.0,0.600,1,0.305,3.067,1.318,0
351,28.1,49.4,0.600,1,0.303,3.032,1.302,0
352,28.3,45.7,0.600,1,0.290,3.007,1.283,0
353,28.4,41.8,0.600,1,0.302,2.989,1.257,0
354,28.6,37.8,0.600,1,0.292,2.974,1.227,0
355,28.6,33.4,0.600,1,0.300,2.961,1.197,0
356,28.5,32.1,0.600,1,0.302,2.949,1.173,0
357,28.3,31.2,0.600,1,0.294,2.938,1.148,0
358,28.0,30.2,0.600,1,0.291,2.926,1.123,0
359,27.6,29.2,0.600,1,0.293,2.915,1.097,0
360,27.2,28.0,0.600,1,0.286,2.904,1.072,0
361,26.8,25.1,0.600,0,0.285,2.893,1.067,0
362,26.4,20.7,0.600,0,0.211,2.885,1.091,0
363,26.1,16.6,0.600,0,0.271,2.879,1.122,0
364,25.8,13.0,0.600,0,0.229,2.879,1.164,0
365,25.3,9.8,0.600,0,0.164,2.877,1.209,0
366,25.0,6.5,0.515,0,0.310,2.873,1.255,0
367,24.9,3.2,0.395,0,0.285,2.868,1.302,0
368,24.6,-0.5,0.275,0,0.220,2.854,1.343,0
369,24.4,-4.4,0.395,0,-0.359,2.835,1.379,0
370,24.5,-8.0,0.515,0,0.268,2.815,1.415,0
371,24.6,-11.8,0.408,0,-0.165,2.791,1.450,0
372,24.6,-15.8,0.415,0,0.212,2.760,1.480,0
373,24.9,-19.5,0.462,0,0.239,2.731,1.512,0
374,25.1,-23.3,0.361,0,0.238,2.698,1.541,0
375,25.2,-27.6,0.241,1,0.282,2.661,1.560,0
376,25.2,-32.0,0.292,1,0.270,2.623,1.580,0
377,25.2,-36.4,0.412,1,0.277,2.585,1.604,0
378,25.2,-40.7,0.412,1,0.278,2.549,1.631,0
379,25.4,-44.9,0.532,1,0.324,2.513,1.661,0
380,25.5,-49.1,0.600,1,0.326,2.479,1.696,0
381,25.7,-53.1,0.600,1,0.325,2.446,1.735,0
382,25.7,-57.5,0.600,1,0.304,2.412,1.775,0
383,25.7,-61.8,0.600,1,0.284,2.378,1.819,0
384,25.7,-65.9,0.600,1,0.285,2.348,1.868,0
385,25.8,-69.8,0.600,1,0.286,2.322,1.922,0
386,26.0,-73.6,0.600,1,0.282,2.297,1.979,0
387,26.1,-77.3,0.562,1,0.272,2.275,2.039,0
388,26.2,-80.8,0.525,1,0.289,2.255,2.103,0
389,26.4,-84.2,0.600,1,0.311,2.238,2.169,0
390,26.6,-87.5,0.600,1,0.295,2.222,2.238,0
391,26.7,-90.8,0.600,1,0.312,2.207,2.309,0
392,26.8,-94.1,0.600,1,0.302,2.193,2.384,0
393,26.8,-97.4,0.600,1,0.334,2.181,2.460,0
394,26.8,-100.6,0.600,1,0.320,2.171,2.539,0
395,26.7,-103.9,0.600,1,0.321,2.161,2.621,0
396,26.6,-107.1,0.600,1,0.313,2.154,2.704,0
397,26.5,-110.2,0.600,1,0.308,2.148,2.790,0
398,26.3,-113.2,0.590,1,0.300,2.145,2.878,0
399,26.1,-116.2,0.600,1,0.254,2.144,2.967,0
400,25.9,-119.1,0.600,1,0.276,2.145,3.057,0
401,25.7,-121.8,0.600,1,0.249,2.150,3.148,0
402,25.4,-124.4,0.600,1,0.272,2.158,3.240,0
403,25.2,-127.0,0.600,1,0.277,2.168,3.332,0
404,24.8,-129.5,0.600,1,0.279,2.178,3.426,0
405,24.4,-132.2,0.600,1,0.290,2.190,3.521,0
406,23.8,-134.8,0.600,1,0.295,2.202,3.618,0
407,23.2,-137.4,0.600,1,0.305,2.215,3.716,0
408,22.6,-140.0,0.600,1,0.261,2.228,3.816,0
409,21.9,-142.6,0.554,1,0.247,2.241,3.917,0
410,21.3,-145.0,0.434,1,0.245,2.258,4.017,0
411,20.7,-147.2,0.518,1,0.285,2.278,4.116,0
412,20.3,-149.2,0.554,1,0.290,2.298,4.215,0
413,19.7,-151.4,0.600,1,0.299,2.318,4.317,0
414,18.9,-153.6,0.600,1,0.303,2.340,4.379,0
415,17.9,-155.9,0.574,1,0.294,2.360,4.404,0
416,16.9,-158.2,0.592,1,0.286,2.380,4.430,0
417,15.9,-160.4,0.600,1,0.318,2.400,4.458,0
418,15.0,-162.5,0.600,1,0.338,2.422,4.484,0
419,14.8,-163.9,0.600,1,0.334,2.448,4.507,0
420,13.9,-165.7,0.600,1,0.331,2.473,4.532,0
421,13.1,-167.6,0.567,1,0.312,2.494,4.561,0
422,12.8,-168.9,0.520,1,0.334,2.521,4.585,0
423,12.2,-170.4,0.563,1,0.267,2.547,4.612,0
424,11.6,-171.9,0.519,1,0.285,2.571,4.640,0
425,11.7,-172.7,0.461,1,0.304,2.604,4.661,0
426,11.3,-173.8,0.457,1,0.295,2.633,4.684,0
427,11.1,-174.8,0.461,1,0.291,2.661,4.710,0
428,10.8,-175.9,0.469,1,0.280,2.691,4.734,0
429,10.3,-177.1,0.589,1,0.305,2.719,4.761,0
430,10.0,-178.1,0.600,1,0.323,2.749,4.786,0
